province;cpv_division;division_name;tender_count
Świętokrzyskie;50;Usługi napraw i konserwacji;29
Świętokrzyskie;79;Usługi biznesowe i doradcze;24
Świętokrzyskie;32;Sprzęt elektroniczny i telekomunikacyjny;19
Świętokrzyskie;73;Usługi badawczo-rozwojowe;17
Świętokrzyskie;31;Sprzęt elektryczny;17
Świętokrzyskie;63;Usługi spedycji i logistyki;17
Świętokrzyskie;55;Usługi hotelarskie i restauracyjne;17
Świętokrzyskie;38;Sprzęt laboratoryjny i naukowy;16
Świętokrzyskie;44;Materiały budowlane;16
Świętokrzyskie;48;Pakiety oprogramowania;15
Świętokrzyskie;72;Usługi informatyczne;12
Świętokrzyskie;66;Usługi finansowe i ubezpieczeniowe;11
Świętokrzyskie;24;Produkty chemiczne;11
Świętokrzyskie;85;Usługi zdrowotne i społeczne;9
Świętokrzyskie;64;Usługi pocztowe i telekomunikacyjne;8
Świętokrzyskie;70;Usługi w zakresie nieruchomości;7
Świętokrzyskie;14;Górnictwo i minerały;7
Świętokrzyskie;42;Maszyny przemysłowe;6
Świętokrzyskie;16;Maszyny rolnicze;6
Świętokrzyskie;77;Usługi rolnicze i leśne;6
Świętokrzyskie;18;Odzież i obuwie;6
Świętokrzyskie;3;Produkty rolne, łowieckie i rybne;5
Świętokrzyskie;43;Maszyny górnicze;5
Świętokrzyskie;98;Pozostałe usługi komunalne i osobiste;4
Świętokrzyskie;37;Sprzęt sportowy i rekreacyjny;3
Świętokrzyskie;35;Sprzęt bezpieczeństwa i ochrony;3
Świętokrzyskie;92;Usługi rekreacyjne i kulturalne;2
Świętokrzyskie;51;Usługi instalacyjne;1
Świętokrzyskie;22;Drukowane materiały i produkty poligraficzne;1
Warmińsko-mazurskie;45;Roboty budowlane;678
Warmińsko-mazurskie;33;Sprzęt medyczny i farmaceutyczny;168
Warmińsko-mazurskie;30;Sprzęt komputerowy i biurowy;153
Warmińsko-mazurskie;71;Usługi architektoniczne i inżynieryjne;91
Warmińsko-mazurskie;9;Produkty naftowe, paliwa i energia;81
Warmińsko-mazurskie;34;Sprzęt transportowy i pojazdy;79
Warmińsko-mazurskie;15;Artykuły spożywcze i napoje;57
Warmińsko-mazurskie;60;Usługi transportu drogowego;45
Warmińsko-mazurskie;39;Meble i wyposażenie wnętrz;44
Warmińsko-mazurskie;55;Usługi hotelarskie i restauracyjne;43
Warmińsko-mazurskie;90;Usługi środowiskowe i sanitarne;42
Warmińsko-mazurskie;48;Pakiety oprogramowania;38
Warmińsko-mazurskie;38;Sprzęt laboratoryjny i naukowy;37
Warmińsko-mazurskie;79;Usługi biznesowe i doradcze;31
Warmińsko-mazurskie;44;Materiały budowlane;25
Warmińsko-mazurskie;80;Usługi edukacyjne;23
Warmińsko-mazurskie;3;Produkty rolne, łowieckie i rybne;23
Warmińsko-mazurskie;16;Maszyny rolnicze;20
Warmińsko-mazurskie;32;Sprzęt elektroniczny i telekomunikacyjny;19
Warmińsko-mazurskie;77;Usługi rolnicze i leśne;18
Warmińsko-mazurskie;42;Maszyny przemysłowe;18
Warmińsko-mazurskie;50;Usługi napraw i konserwacji;18
Warmińsko-mazurskie;14;Górnictwo i minerały;16
Warmińsko-mazurskie;37;Sprzęt sportowy i rekreacyjny;16
Warmińsko-mazurskie;31;Sprzęt elektryczny;16
Warmińsko-mazurskie;24;Produkty chemiczne;13
Warmińsko-mazurskie;43;Maszyny górnicze;13
Warmińsko-mazurskie;85;Usługi zdrowotne i społeczne;12
Warmińsko-mazurskie;66;Usługi finansowe i ubezpieczeniowe;12
Warmińsko-mazurskie;64;Usługi pocztowe i telekomunikacyjne;8
Warmińsko-mazurskie;73;Usługi badawczo-rozwojowe;7
Warmińsko-mazurskie;35;Sprzęt bezpieczeństwa i ochrony;7
Warmińsko-mazurskie;22;Drukowane materiały i produkty poligraficzne;5
Warmińsko-mazurskie;72;Usługi informatyczne;5
Warmińsko-mazurskie;98;Pozostałe usługi komunalne i osobiste;5
Warmińsko-mazurskie;70;Usługi w zakresie nieruchomości;4
Warmińsko-mazurskie;18;Odzież i obuwie;3
Warmińsko-mazurskie;63;Usługi spedycji i logistyki;2
Warmińsko-mazurskie;92;Usługi rekreacyjne i kulturalne;2
Warmińsko-mazurskie;19;Wyroby skórzane i tekstylne;2
Warmińsko-mazurskie;51;Usługi instalacyjne;1
Wielkopolskie;45;Roboty budowlane;1699
Wielkopolskie;33;Sprzęt medyczny i farmaceutyczny;295
Wielkopolskie;30;Sprzęt komputerowy i biurowy;288
Wielkopolskie;71;Usługi architektoniczne i inżynieryjne;227
Wielkopolskie;60;Usługi transportu drogowego;168
Wielkopolskie;9;Produkty naftowe, paliwa i energia;137
Wielkopolskie;90;Usługi środowiskowe i sanitarne;116
Wielkopolskie;15;Artykuły spożywcze i napoje;107
Wielkopolskie;39;Meble i wyposażenie wnętrz;99
Wielkopolskie;34;Sprzęt transportowy i pojazdy;95
Wielkopolskie;79;Usługi biznesowe i doradcze;73
Wielkopolskie;24;Produkty chemiczne;65
Wielkopolskie;55;Usługi hotelarskie i restauracyjne;54
Wielkopolskie;38;Sprzęt laboratoryjny i naukowy;50
Wielkopolskie;77;Usługi rolnicze i leśne;47
Wielkopolskie;3;Produkty rolne, łowieckie i rybne;44
Wielkopolskie;85;Usługi zdrowotne i społeczne;36
Wielkopolskie;50;Usługi napraw i konserwacji;36
Wielkopolskie;66;Usługi finansowe i ubezpieczeniowe;35
Wielkopolskie;48;Pakiety oprogramowania;35
Wielkopolskie;80;Usługi edukacyjne;33
Wielkopolskie;72;Usługi informatyczne;33
Wielkopolskie;44;Materiały budowlane;30
Wielkopolskie;42;Maszyny przemysłowe;29
Wielkopolskie;32;Sprzęt elektroniczny i telekomunikacyjny;29
Wielkopolskie;98;Pozostałe usługi komunalne i osobiste;26
Wielkopolskie;31;Sprzęt elektryczny;21
Wielkopolskie;18;Odzież i obuwie;17
Wielkopolskie;64;Usługi pocztowe i telekomunikacyjne;14
Wielkopolskie;37;Sprzęt sportowy i rekreacyjny;14
Wielkopolskie;16;Maszyny rolnicze;12
Wielkopolskie;63;Usługi spedycji i logistyki;10
Wielkopolskie;43;Maszyny górnicze;9
Wielkopolskie;22;Drukowane materiały i produkty poligraficzne;9
Wielkopolskie;14;Górnictwo i minerały;8
Wielkopolskie;19;Wyroby skórzane i tekstylne;7
Wielkopolskie;73;Usługi badawczo-rozwojowe;5
Wielkopolskie;92;Usługi rekreacyjne i kulturalne;3
Wielkopolskie;35;Sprzęt bezpieczeństwa i ochrony;2
Wielkopolskie;51;Usługi instalacyjne;2
Wielkopolskie;65;Usługi komunalne (gaz, woda, energia);2
Zachodniopomorskie;45;Roboty budowlane;966
Zachodniopomorskie;33;Sprzęt medyczny i farmaceutyczny;138
Zachodniopomorskie;30;Sprzęt komputerowy i biurowy;135
Zachodniopomorskie;71;Usługi architektoniczne i inżynieryjne;121
Zachodniopomorskie;34;Sprzęt transportowy i pojazdy;111
Zachodniopomorskie;15;Artykuły spożywcze i napoje;67
Zachodniopomorskie;90;Usługi środowiskowe i sanitarne;61
Zachodniopomorskie;60;Usługi transportu drogowego;56
Zachodniopomorskie;80;Usługi edukacyjne;53
Zachodniopomorskie;55;Usługi hotelarskie i restauracyjne;52
Zachodniopomorskie;9;Produkty naftowe, paliwa i energia;51
Zachodniopomorskie;79;Usługi biznesowe i doradcze;46
Zachodniopomorskie;39;Meble i wyposażenie wnętrz;38
Zachodniopomorskie;50;Usługi napraw i konserwacji;32
Zachodniopomorskie;85;Usługi zdrowotne i społeczne;28
Zachodniopomorskie;38;Sprzęt laboratoryjny i naukowy;28
Zachodniopomorskie;42;Maszyny przemysłowe;24
Zachodniopomorskie;44;Materiały budowlane;23
Zachodniopomorskie;66;Usługi finansowe i ubezpieczeniowe;23
Zachodniopomorskie;77;Usługi rolnicze i leśne;20
Zachodniopomorskie;48;Pakiety oprogramowania;20
Zachodniopomorskie;32;Sprzęt elektroniczny i telekomunikacyjny;17
Zachodniopomorskie;3;Produkty rolne, łowieckie i rybne;16
Zachodniopomorskie;18;Odzież i obuwie;16
Zachodniopomorskie;14;Górnictwo i minerały;13
Zachodniopomorskie;72;Usługi informatyczne;11
Zachodniopomorskie;98;Pozostałe usługi komunalne i osobiste;11
Zachodniopomorskie;22;Drukowane materiały i produkty poligraficzne;9
Zachodniopomorskie;16;Maszyny rolnicze;8
Zachodniopomorskie;24;Produkty chemiczne;8
Zachodniopomorskie;31;Sprzęt elektryczny;6
Zachodniopomorskie;64;Usługi pocztowe i telekomunikacyjne;5
Zachodniopomorskie;63;Usługi spedycji i logistyki;4
Zachodniopomorskie;43;Maszyny górnicze;4
Zachodniopomorskie;75;Usługi administracji publicznej;3
Zachodniopomorskie;35;Sprzęt bezpieczeństwa i ochrony;3
Zachodniopomorskie;37;Sprzęt sportowy i rekreacyjny;3
Zachodniopomorskie;92;Usługi rekreacyjne i kulturalne;2
Zachodniopomorskie;73;Usługi badawczo-rozwojowe;1
Zachodniopomorskie;51;Usługi instalacyjne;1
Zachodniopomorskie;19;Wyroby skórzane i tekstylne;1
Zachodniopomorskie;70;Usługi w zakresie nieruchomości;1
