province;cpv_division;division_name;tender_count
Lubelskie;90;Usługi środowiskowe i sanitarne;76
Lubelskie;55;Usługi hotelarskie i restauracyjne;65
Lubelskie;48;Pakiety oprogramowania;52
Lubelskie;79;Usługi biznesowe i doradcze;50
Lubelskie;38;Sprzęt laboratoryjny i naukowy;46
Lubelskie;44;Materiały budowlane;31
Lubelskie;66;Usługi finansowe i ubezpieczeniowe;30
Lubelskie;72;Usługi informatyczne;27
Lubelskie;32;Sprzęt elektroniczny i telekomunikacyjny;26
Lubelskie;24;Produkty chemiczne;24
Lubelskie;50;Usługi napraw i konserwacji;24
Lubelskie;31;Sprzęt elektryczny;23
Lubelskie;85;Usługi zdrowotne i społeczne;20
Lubelskie;77;Usługi rolnicze i leśne;20
Lubelskie;42;Maszyny przemysłowe;20
Lubelskie;3;Produkty rolne, łowieckie i rybne;19
Lubelskie;14;Górnictwo i minerały;19
Lubelskie;22;Drukowane materiały i produkty poligraficzne;16
Lubelskie;37;Sprzęt sportowy i rekreacyjny;11
Lubelskie;18;Odzież i obuwie;10
Lubelskie;70;Usługi w zakresie nieruchomości;9
Lubelskie;73;Usługi badawczo-rozwojowe;9
Lubelskie;16;Maszyny rolnicze;8
Lubelskie;98;Pozostałe usługi komunalne i osobiste;7
Lubelskie;64;Usługi pocztowe i telekomunikacyjne;6
Lubelskie;35;Sprzęt bezpieczeństwa i ochrony;6
Lubelskie;43;Maszyny górnicze;5
Lubelskie;19;Wyroby skórzane i tekstylne;4
Lubelskie;92;Usługi rekreacyjne i kulturalne;4
Lubelskie;63;Usługi spedycji i logistyki;4
Lubelskie;75;Usługi administracji publicznej;1
Lubelskie;51;Usługi instalacyjne;1
Lubelskie;41;Woda i usługi wodne;1
Lubuskie;45;Roboty budowlane;626
Lubuskie;30;Sprzęt komputerowy i biurowy;93
Lubuskie;71;Usługi architektoniczne i inżynieryjne;89
Lubuskie;33;Sprzęt medyczny i farmaceutyczny;77
Lubuskie;34;Sprzęt transportowy i pojazdy;48
Lubuskie;39;Meble i wyposażenie wnętrz;37
Lubuskie;90;Usługi środowiskowe i sanitarne;37
Lubuskie;9;Produkty naftowe, paliwa i energia;35
Lubuskie;60;Usługi transportu drogowego;32
Lubuskie;79;Usługi biznesowe i doradcze;28
Lubuskie;80;Usługi edukacyjne;25
Lubuskie;55;Usługi hotelarskie i restauracyjne;23
Lubuskie;85;Usługi zdrowotne i społeczne;17
Lubuskie;15;Artykuły spożywcze i napoje;13
Lubuskie;48;Pakiety oprogramowania;10
Lubuskie;16;Maszyny rolnicze;9
Lubuskie;37;Sprzęt sportowy i rekreacyjny;8
Lubuskie;66;Usługi finansowe i ubezpieczeniowe;8
Lubuskie;32;Sprzęt elektroniczny i telekomunikacyjny;7
Lubuskie;72;Usługi informatyczne;7
Lubuskie;42;Maszyny przemysłowe;6
Lubuskie;51;Usługi instalacyjne;5
Lubuskie;3;Produkty rolne, łowieckie i rybne;5
Lubuskie;14;Górnictwo i minerały;5
Lubuskie;77;Usługi rolnicze i leśne;5
Lubuskie;38;Sprzęt laboratoryjny i naukowy;5
Lubuskie;43;Maszyny górnicze;4
Lubuskie;44;Materiały budowlane;4
Lubuskie;73;Usługi badawczo-rozwojowe;3
Lubuskie;50;Usługi napraw i konserwacji;3
Lubuskie;35;Sprzęt bezpieczeństwa i ochrony;3
Lubuskie;24;Produkty chemiczne;3
Lubuskie;31;Sprzęt elektryczny;3
Lubuskie;22;Drukowane materiały i produkty poligraficzne;3
Lubuskie;75;Usługi administracji publicznej;3
Lubuskie;64;Usługi pocztowe i telekomunikacyjne;3
Lubuskie;92;Usługi rekreacyjne i kulturalne;2
Lubuskie;19;Wyroby skórzane i tekstylne;2
Lubuskie;63;Usługi spedycji i logistyki;2
Lubuskie;70;Usługi w zakresie nieruchomości;1
Lubuskie;18;Odzież i obuwie;1
Lubuskie;65;Usługi komunalne (gaz, woda, energia);1
Łódzkie;45;Roboty budowlane;1329
Łódzkie;71;Usługi architektoniczne i inżynieryjne;172
Łódzkie;33;Sprzęt medyczny i farmaceutyczny;170
Łódzkie;30;Sprzęt komputerowy i biurowy;156
Łódzkie;34;Sprzęt transportowy i pojazdy;133
Łódzkie;9;Produkty naftowe, paliwa i energia;128
Łódzkie;55;Usługi hotelarskie i restauracyjne;81
Łódzkie;90;Usługi środowiskowe i sanitarne;74
Łódzkie;79;Usługi biznesowe i doradcze;67
Łódzkie;39;Meble i wyposażenie wnętrz;66
Łódzkie;60;Usługi transportu drogowego;65
Łódzkie;80;Usługi edukacyjne;64
Łódzkie;48;Pakiety oprogramowania;46
Łódzkie;50;Usługi napraw i konserwacji;43
Łódzkie;15;Artykuły spożywcze i napoje;39
Łódzkie;38;Sprzęt laboratoryjny i naukowy;38
Łódzkie;72;Usługi informatyczne;32
Łódzkie;44;Materiały budowlane;28
Łódzkie;66;Usługi finansowe i ubezpieczeniowe;26
Łódzkie;16;Maszyny rolnicze;23
Łódzkie;85;Usługi zdrowotne i społeczne;22
Łódzkie;42;Maszyny przemysłowe;18
Łódzkie;32;Sprzęt elektroniczny i telekomunikacyjny;17
Łódzkie;14;Górnictwo i minerały;15
Łódzkie;24;Produkty chemiczne;13
Łódzkie;77;Usługi rolnicze i leśne;13
Łódzkie;37;Sprzęt sportowy i rekreacyjny;13
Łódzkie;31;Sprzęt elektryczny;12
Łódzkie;73;Usługi badawczo-rozwojowe;11
Łódzkie;3;Produkty rolne, łowieckie i rybne;11
Łódzkie;98;Pozostałe usługi komunalne i osobiste;10
Łódzkie;43;Maszyny górnicze;8
Łódzkie;63;Usługi spedycji i logistyki;8
Łódzkie;18;Odzież i obuwie;8
Łódzkie;75;Usługi administracji publicznej;7
Łódzkie;22;Drukowane materiały i produkty poligraficzne;6
Łódzkie;92;Usługi rekreacyjne i kulturalne;5
Łódzkie;70;Usługi w zakresie nieruchomości;5
Łódzkie;64;Usługi pocztowe i telekomunikacyjne;4
Łódzkie;19;Wyroby skórzane i tekstylne;4
Łódzkie;35;Sprzęt bezpieczeństwa i ochrony;1
Małopolskie;45;Roboty budowlane;1713
Małopolskie;33;Sprzęt medyczny i farmaceutyczny;400
Małopolskie;71;Usługi architektoniczne i inżynieryjne;322
Małopolskie;30;Sprzęt komputerowy i biurowy;197
Małopolskie;34;Sprzęt transportowy i pojazdy;167
Małopolskie;60;Usługi transportu drogowego;157
Małopolskie;39;Meble i wyposażenie wnętrz;140
Małopolskie;15;Artykuły spożywcze i napoje;135
Małopolskie;90;Usługi środowiskowe i sanitarne;128
Małopolskie;80;Usługi edukacyjne;117
Małopolskie;79;Usługi biznesowe i doradcze;113
Małopolskie;9;Produkty naftowe, paliwa i energia;95
Małopolskie;55;Usługi hotelarskie i restauracyjne;88
Małopolskie;38;Sprzęt laboratoryjny i naukowy;88
Małopolskie;48;Pakiety oprogramowania;86
Małopolskie;42;Maszyny przemysłowe;61
Małopolskie;50;Usługi napraw i konserwacji;50
Małopolskie;72;Usługi informatyczne;46
Małopolskie;85;Usługi zdrowotne i społeczne;42
Małopolskie;32;Sprzęt elektroniczny i telekomunikacyjny;42
Małopolskie;44;Materiały budowlane;34
Małopolskie;3;Produkty rolne, łowieckie i rybne;34
Małopolskie;31;Sprzęt elektryczny;30
Małopolskie;66;Usługi finansowe i ubezpieczeniowe;28
Małopolskie;92;Usługi rekreacyjne i kulturalne;27
Małopolskie;77;Usługi rolnicze i leśne;22
Małopolskie;18;Odzież i obuwie;21
Małopolskie;63;Usługi spedycji i logistyki;21
Małopolskie;24;Produkty chemiczne;21
Małopolskie;64;Usługi pocztowe i telekomunikacyjne;18
Małopolskie;98;Pozostałe usługi komunalne i osobiste;17
Małopolskie;37;Sprzęt sportowy i rekreacyjny;15
Małopolskie;35;Sprzęt bezpieczeństwa i ochrony;14
Małopolskie;14;Górnictwo i minerały;14
Małopolskie;16;Maszyny rolnicze;11
Małopolskie;70;Usługi w zakresie nieruchomości;8
Małopolskie;73;Usługi badawczo-rozwojowe;8
Małopolskie;43;Maszyny górnicze;7
Małopolskie;75;Usługi administracji publicznej;6
Małopolskie;22;Drukowane materiały i produkty poligraficzne;6
Małopolskie;51;Usługi instalacyjne;5
Małopolskie;19;Wyroby skórzane i tekstylne;4
Małopolskie;76;Usługi związane z przemysłem naftowym;1
Małopolskie;41;Woda i usługi wodne;1
Małopolskie;65;Usługi komunalne (gaz, woda, energia);1
Mazowieckie;45;Roboty budowlane;3158
Mazowieckie;71;Usługi architektoniczne i inżynieryjne;568
Mazowieckie;33;Sprzęt medyczny i farmaceutyczny;547
Mazowieckie;30;Sprzęt komputerowy i biurowy;412
Mazowieckie;79;Usługi biznesowe i doradcze;375
Mazowieckie;34;Sprzęt transportowy i pojazdy;293
Mazowieckie;9;Produkty naftowe, paliwa i energia;280
Mazowieckie;55;Usługi hotelarskie i restauracyjne;251
Mazowieckie;90;Usługi środowiskowe i sanitarne;237
Mazowieckie;39;Meble i wyposażenie wnętrz;233
Mazowieckie;38;Sprzęt laboratoryjny i naukowy;199
Mazowieckie;48;Pakiety oprogramowania;198
Mazowieckie;60;Usługi transportu drogowego;189
Mazowieckie;15;Artykuły spożywcze i napoje;175
Mazowieckie;80;Usługi edukacyjne;170
Mazowieckie;50;Usługi napraw i konserwacji;170
Mazowieckie;72;Usługi informatyczne;158
Mazowieckie;32;Sprzęt elektroniczny i telekomunikacyjny;117
Mazowieckie;85;Usługi zdrowotne i społeczne;115
Mazowieckie;31;Sprzęt elektryczny;98
Mazowieckie;77;Usługi rolnicze i leśne;75
Mazowieckie;66;Usługi finansowe i ubezpieczeniowe;75
Mazowieckie;44;Materiały budowlane;74
Mazowieckie;64;Usługi pocztowe i telekomunikacyjne;65
Mazowieckie;42;Maszyny przemysłowe;64
