wojewodztwo;cpv_code;cpv_description;liczba_przetargow
Dolnośląskie;45000000-7;Roboty budowlane;869
Dolnośląskie;45233120-6;Roboty w zakresie budowy dróg;132
Dolnośląskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;113
Dolnośląskie;33100000-1;Urządzenia medyczne;111
Dolnośląskie;79710000-4;Usługi ochroniarskie;102
Kujawsko-pomorskie;45000000-7;Roboty budowlane;659
Kujawsko-pomorskie;66510000-8;Usługi ubezpieczeniowe;146
Kujawsko-pomorskie;45233120-6;Roboty w zakresie budowy dróg;143
Kujawsko-pomorskie;45233140-2;Roboty drogowe;97
Kujawsko-pomorskie;33100000-1;Urządzenia medyczne;69
Lubelskie;45000000-7;Roboty budowlane;696
Lubelskie;45233120-6;Roboty w zakresie budowy dróg;214
Lubelskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;187
Lubelskie;45233140-2;Roboty drogowe;169
Lubelskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;97
Lubuskie;45000000-7;Roboty budowlane;397
Lubuskie;45233120-6;Roboty w zakresie budowy dróg;87
Lubuskie;45233140-2;Roboty drogowe;50
Lubuskie;79710000-4;Usługi ochroniarskie;47
Lubuskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;45
Mazowieckie;45000000-7;Roboty budowlane;1861
Mazowieckie;45233120-6;Roboty w zakresie budowy dróg;414
Mazowieckie;45233140-2;Roboty drogowe;290
Mazowieckie;79710000-4;Usługi ochroniarskie;274
Mazowieckie;45453000-7;Roboty remontowe i renowacyjne;272
Małopolskie;45000000-7;Roboty budowlane;868
Małopolskie;45233140-2;Roboty drogowe;271
Małopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;240
Małopolskie;45233142-6;Roboty w zakresie naprawy dróg;156
Małopolskie;90620000-9;Usługi odśnieżania;148
Opolskie;45000000-7;Roboty budowlane;318
Opolskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;44
Opolskie;33140000-3;Materiały medyczne;41
Opolskie;45233120-6;Roboty w zakresie budowy dróg;41
Opolskie;45233220-7;Roboty w zakresie nawierzchni dróg;39
Podkarpackie;45000000-7;Roboty budowlane;806
Podkarpackie;45233140-2;Roboty drogowe;192
Podkarpackie;45233222-1;Roboty budowlane w zakresie układania chodników i asfaltowania;124
Podkarpackie;45233220-7;Roboty w zakresie nawierzchni dróg;88
Podkarpackie;71320000-7;Usługi inżynieryjne w zakresie projektowania;88
Podlaskie;45000000-7;Roboty budowlane;400
Podlaskie;45233120-6;Roboty w zakresie budowy dróg;191
Podlaskie;45233220-7;Roboty w zakresie nawierzchni dróg;99
Podlaskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;81
Podlaskie;45233140-2;Roboty drogowe;59
Pomorskie;45000000-7;Roboty budowlane;704
Pomorskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;112
Pomorskie;79710000-4;Usługi ochroniarskie;98
Pomorskie;45233120-6;Roboty w zakresie budowy dróg;95
Pomorskie;45233140-2;Roboty drogowe;94
Warmińsko-mazurskie;45000000-7;Roboty budowlane;382
Warmińsko-mazurskie;45233140-2;Roboty drogowe;137
Warmińsko-mazurskie;45233120-6;Roboty w zakresie budowy dróg;110
Warmińsko-mazurskie;45233220-7;Roboty w zakresie nawierzchni dróg;74
Warmińsko-mazurskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;56
Wielkopolskie;45000000-7;Roboty budowlane;904
Wielkopolskie;45233140-2;Roboty drogowe;289
Wielkopolskie;45233120-6;Roboty w zakresie budowy dróg;190
Wielkopolskie;45233220-7;Roboty w zakresie nawierzchni dróg;126
Wielkopolskie;60100000-9;Usługi w zakresie transportu drogowego;108
Zachodniopomorskie;45000000-7;Roboty budowlane;563
Zachodniopomorskie;45233220-7;Roboty w zakresie nawierzchni dróg;91
Zachodniopomorskie;79710000-4;Usługi ochroniarskie;75
Zachodniopomorskie;45233120-6;Roboty w zakresie budowy dróg;71
Zachodniopomorskie;45233140-2;Roboty drogowe;63
Łódzkie;45000000-7;Roboty budowlane;809
Łódzkie;45233120-6;Roboty w zakresie budowy dróg;159
Łódzkie;45233140-2;Roboty drogowe;157
Łódzkie;71320000-7;Usługi inżynieryjne w zakresie projektowania;101
Łódzkie;79710000-4;Usługi ochroniarskie;71
Śląskie;45000000-7;Roboty budowlane;1148
Śląskie;15000000-8;Żywność, napoje, tytoń i produkty pokrewne;203
Śląskie;45233140-2;Roboty drogowe;180
Śląskie;79710000-4;Usługi ochroniarskie;178
Śląskie;15800000-6;Różne produkty spożywcze;132
Świętokrzyskie;45000000-7;Roboty budowlane;392
Świętokrzyskie;45233140-2;Roboty drogowe;134
Świętokrzyskie;33140000-3;Materiały medyczne;103
Świętokrzyskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;80
Świętokrzyskie;45233120-6;Roboty w zakresie budowy dróg;69
