wojewodztwo;cpv_code;cpv_description;liczba_przetargow
Dolnośląskie;45000000-7;Roboty budowlane;1053
Dolnośląskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;166
Dolnośląskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;155
Dolnośląskie;45233120-6;Roboty w zakresie budowy dróg;131
Dolnośląskie;30213100-6;Komputery przenośne;118
Kujawsko-pomorskie;45000000-7;Roboty budowlane;811
Kujawsko-pomorskie;45233120-6;Roboty w zakresie budowy dróg;120
Kujawsko-pomorskie;66510000-8;Usługi ubezpieczeniowe;118
Kujawsko-pomorskie;45233140-2;Roboty drogowe;113
Kujawsko-pomorskie;30213100-6;Komputery przenośne;101
Lubelskie;45000000-7;Roboty budowlane;805
Lubelskie;45233140-2;Roboty drogowe;152
Lubelskie;45233120-6;Roboty w zakresie budowy dróg;149
Lubelskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;143
Lubelskie;80530000-8;Usługi szkolenia zawodowego;116
Lubuskie;45000000-7;Roboty budowlane;439
Lubuskie;45233120-6;Roboty w zakresie budowy dróg;91
Lubuskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;57
Lubuskie;30213100-6;Komputery przenośne;54
Lubuskie;45233140-2;Roboty drogowe;54
Mazowieckie;45000000-7;Roboty budowlane;1971
Mazowieckie;45233120-6;Roboty w zakresie budowy dróg;441
Mazowieckie;79710000-4;Usługi ochroniarskie;307
Mazowieckie;71320000-7;Usługi inżynieryjne w zakresie projektowania;275
Mazowieckie;45233140-2;Roboty drogowe;267
Małopolskie;45000000-7;Roboty budowlane;942
Małopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;288
Małopolskie;45233140-2;Roboty drogowe;246
Małopolskie;45453000-7;Roboty remontowe i renowacyjne;172
Małopolskie;90620000-9;Usługi odśnieżania;150
Opolskie;45000000-7;Roboty budowlane;451
Opolskie;09310000-5;Elektryczność;64
Opolskie;80000000-4;Usługi edukacyjne i szkoleniowe;50
Opolskie;33140000-3;Materiały medyczne;46
Opolskie;30200000-1;Urządzenia komputerowe;45
Podkarpackie;45000000-7;Roboty budowlane;868
Podkarpackie;45233140-2;Roboty drogowe;165
Podkarpackie;71320000-7;Usługi inżynieryjne w zakresie projektowania;138
Podkarpackie;30200000-1;Urządzenia komputerowe;126
Podkarpackie;45233142-6;Roboty w zakresie naprawy dróg;125
Podlaskie;45000000-7;Roboty budowlane;447
Podlaskie;45233120-6;Roboty w zakresie budowy dróg;189
Podlaskie;90500000-2;Usługi związane z odpadami;75
Podlaskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;70
Podlaskie;30200000-1;Urządzenia komputerowe;66
Pomorskie;45000000-7;Roboty budowlane;809
Pomorskie;45233120-6;Roboty w zakresie budowy dróg;131
Pomorskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;129
Pomorskie;45233140-2;Roboty drogowe;121
Pomorskie;80000000-4;Usługi edukacyjne i szkoleniowe;114
Warmińsko-mazurskie;45000000-7;Roboty budowlane;433
Warmińsko-mazurskie;45233140-2;Roboty drogowe;136
Warmińsko-mazurskie;45233120-6;Roboty w zakresie budowy dróg;123
Warmińsko-mazurskie;30213100-6;Komputery przenośne;77
Warmińsko-mazurskie;45233220-7;Roboty w zakresie nawierzchni dróg;73
Wielkopolskie;45000000-7;Roboty budowlane;1063
Wielkopolskie;45233140-2;Roboty drogowe;293
Wielkopolskie;45233120-6;Roboty w zakresie budowy dróg;204
Wielkopolskie;30200000-1;Urządzenia komputerowe;161
Wielkopolskie;45233220-7;Roboty w zakresie nawierzchni dróg;127
Zachodniopomorskie;45000000-7;Roboty budowlane;752
Zachodniopomorskie;45233120-6;Roboty w zakresie budowy dróg;92
Zachodniopomorskie;45233220-7;Roboty w zakresie nawierzchni dróg;91
Zachodniopomorskie;30213100-6;Komputery przenośne;80
Zachodniopomorskie;45233140-2;Roboty drogowe;73
Łódzkie;45000000-7;Roboty budowlane;858
Łódzkie;45233120-6;Roboty w zakresie budowy dróg;170
Łódzkie;45233140-2;Roboty drogowe;160
Łódzkie;71320000-7;Usługi inżynieryjne w zakresie projektowania;108
Łódzkie;45231300-8;Roboty budowlane w zakresie budowy wodociągów i rurociągów do odprowadzania ścieków;101
Śląskie;45000000-7;Roboty budowlane;1454
Śląskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;203
Śląskie;15000000-8;Żywność, napoje, tytoń i produkty pokrewne;196
Śląskie;79710000-4;Usługi ochroniarskie;191
Śląskie;45233140-2;Roboty drogowe;165
Świętokrzyskie;45000000-7;Roboty budowlane;520
Świętokrzyskie;45233140-2;Roboty drogowe;108
Świętokrzyskie;33140000-3;Materiały medyczne;85
Świętokrzyskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;82
Świętokrzyskie;60100000-9;Usługi w zakresie transportu drogowego;68
